,0,1,2
410,(2021/12/18) 01-02,50.03,153.40
411,(2021/12/18) 02-03,49.87,154
412,(2021/12/18) 03-04,48.93,164
413,(2021/12/18) 04-05,48.49,170
414,(2021/12/18) 05-06,26.10,83
415,(2021/12/18) 06-07,26.09,83
416,(2021/12/18) 07-08,48.03,123
417,(2021/12/18) 08-09,48.05,126
418,(2021/12/18) 09-10,48.09,126
419,(2021/12/18) 10-11,79.50,119
420,(2021/12/18) 11-12,81.83,105
421,(2021/12/18) 12-13,29.06,83
422,(2021/12/18) 13-14,29.04,83
423,(2021/12/18) 14-15,29.04,83
424,(2021/12/18) 15-16,29.01,83
425,(2021/12/18) 16-17,26.06,83
426,(2021/12/18) 17-18,26.06,81
427,(2021/12/18) 18-19,45.06,60
428,(2021/12/18) 19-20,315.80,42
429,(2021/12/18) 20-21,100.30,39
430,(2021/12/18) 21-22,50.63,83
431,(2021/12/18) 22-23,50.09,136.20
432,(2021/12/18) 23-24,50.01,112.70
433,(2021/12/19) 00-01,50.07,160.20
434,(2021/12/19) 01-02,50.07,183.20
435,(2021/12/19) 02-03,50.04,181.90
436,(2021/12/19) 03-04,50.02,180.60
437,(2021/12/19) 04-05,49.14,188
438,(2021/12/19) 05-06,32.06,208
439,(2021/12/19) 06-07,32.03,198
440,(2021/12/19) 07-08,31.05,137
441,(2021/12/19) 08-09,30.09,115
442,(2021/12/19) 09-10,30.09,109
443,(2021/12/19) 10-11,30.09,109
444,(2021/12/19) 11-12,30.10,108
445,(2021/12/19) 12-13,30.09,101
446,(2021/12/19) 13-14,30.09,99
447,(2021/12/19) 14-15,30.09,98
448,(2021/12/19) 15-16,30.10,93
449,(2021/12/19) 16-17,30.07,94
450,(2021/12/19) 17-18,30.06,81
451,(2021/12/19) 18-19,30.02,20
452,(2021/12/19) 19-20,51.88,52
453,(2021/12/19) 20-21,30.09,40
454,(2021/12/19) 21-22,50.93,100
455,(2021/12/19) 22-23,50.07,170.40
456,(2021/12/19) 23-24,49.11,159
457,(2021/12/20) 00-01,45.07,220
458,(2021/12/20) 01-02,45.06,216
459,(2021/12/20) 02-03,45.06,214
460,(2021/12/20) 03-04,45.04,210
461,(2021/12/20) 04-05,45.05,220
462,(2021/12/20) 05-06,45.01,160
463,(2021/12/20) 06-07,180.05,73
464,(2021/12/20) 07-08,180.41,115
465,(2021/12/20) 08-09,180.41,94
466,(2021/12/20) 09-10,180.43,95
